Launch Conditions:,,,,,,
Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),,Environmental Conditions:,,
Ball-16-PH.csv,254,11,37,6.95,290.6,311.1
Ball-16-PH.csv,254,10,52,7.55,286.6,298.5
Ball-16-PH.csv,254,9,52,7.36,284.9,299.5
Ball-16-PH.csv,254,11,52,7.73,287.9,297.4
Ball-16-PH.csv,270,11,37,7.41,311.5,328.1
Ball-16-PH.csv,270,10,37,7.18,308.4,328.1
Ball-16-PH.csv,270,12,37,7.63,314,327.8
Ball-16-PH.csv,270,11,33,7.13,309.5,329.3
Ball-16-PH.csv,270,10,33,6.89,305.7,328.7
Ball-16-PH.csv,270,12,33,7.36,312.7,329.4
Ball-16-PH.csv,270,11,47,7.99,310.2,319.4
Ball-16-PH.csv,270,10,47,7.79,308.7,320.4
Ball-16-PH.csv,270,12,47,8.18,311.3,318.3
Ball-16-PP.csv,254,10,42,7.09,289.3,307.3
Ball-16-PP.csv,254,9,42,6.88,286.4,307.6
Ball-16-PP.csv,254,11,42,7.29,291.6,306.7
Ball-16-PP.csv,254,10,37,6.78,288.1,310.5
Ball-16-PP.csv,254,9,37,6.55,284.3,310.1
Ball-16-PP.csv,254,11,37,7,291.3,310.5
Ball-16-PP.csv,254,10,52,7.56,284.7,295.1
Ball-16-PP.csv,254,9,52,7.38,283.3,296.1
Ball-16-PP.csv,254,11,52,7.72,285.8,294
Ball-16-PP.csv,270,11,37,7.46,312,327.4
Ball-16-PP.csv,270,10,37,7.24,309.3,327.6
Ball-16-PP.csv,270,12,37,7.66,314.3,326.9
Ball-16-PP.csv,270,11,33,7.19,310.6,329.2
Ball-16-PP.csv,270,10,33,6.96,307.1,328.8
Ball-16-PP.csv,270,12,33,7.4,313.5,329.2
Ball-16-PP.csv,270,11,47,8,308.9,316.9
Ball-16-PP.csv,270,10,47,7.82,307.6,317.9
Ball-16-PP.csv,270,12,47,8.17,309.8,315.7
Ball-1-PH.csv,254,10,42,6.42,277.9,303.1
Ball-1-PH.csv,254,9,42,6.19,273.4,302
Ball-1-PH.csv,254,11,42,6.65,281.7,303.7
Ball-1-PH.csv,254,10,37,6.12,273.4,301.8
Ball-1-PH.csv,254,9,37,5.88,268.2,300.1
Ball-1-PH.csv,254,11,37,6.36,278,303
Ball-1-PH.csv,254,10,52,7,282.7,301.2
Ball-1-PH.csv,254,9,52,6.78,279.6,301.4
Ball-1-PH.csv,254,11,52,7.21,285.2,300.8
Ball-1-PH.csv,270,11,37,6.79,298.8,319.9
Ball-1-PH.csv,270,10,37,6.56,294.7,319
Ball-1-PH.csv,270,12,37,7.02,302.3,320.5
Ball-1-PH.csv,270,11,33,6.55,295.1,318.6
Ball-1-PH.csv,270,10,33,6.31,290.5,317.3
Ball-1-PH.csv,270,12,33,6.77,299.2,319.6
Ball-1-PH.csv,270,11,47,7.39,304.1,319.1
Ball-1-PH.csv,270,10,47,7.17,301.3,319.2
Ball-1-PH.csv,270,12,47,7.6,306.4,318.7
Ball-1-PP.csv,254,10,42,6.94,283.2,302.4
Ball-1-PP.csv,254,9,42,6.72,280,302.5
Ball-1-PP.csv,254,11,42,7.15,285.8,302.1
Ball-1-PP.csv,254,10,37,6.64,281.2,304.3
Ball-1-PP.csv,254,9,37,6.4,277.2,303.8
Ball-1-PP.csv,254,11,37,6.86,284.5,304.5
Ball-1-PP.csv,254,10,52,7.43,281.1,292.8
Ball-1-PP.csv,254,9,52,7.25,279.5,293.9
Ball-1-PP.csv,254,11,52,7.61,282.3,291.7
Ball-1-PP.csv,270,11,37,7.31,304.7,320.8
Ball-1-PP.csv,270,10,37,7.09,301.8,320.9
Ball-1-PP.csv,270,12,37,7.51,307.2,320.5
Ball-1-PP.csv,270,11,33,7.05,302.8,321.8
Ball-1-PP.csv,270,10,33,6.82,299.2,321.3
Ball-1-PP.csv,270,12,33,7.27,305.8,321.9
Ball-1-PP.csv,270,11,47,7.86,303.8,313
Ball-1-PP.csv,270,10,47,7.67,302.3,314
Ball-1-PP.csv,270,12,47,8.04,304.9,311.9
Ball-1-27PH.csv,254,10,42,6.39,275.5,300.6
Ball-1-27PH.csv,254,9,42,6.15,271,299.6
Ball-1-27PH.csv,254,11,42,6.61,279.3,301.3
Ball-1-27PH.csv,254,10,37,6.06,270.6,299.2
Ball-1-27PH.csv,254,9,37,5.82,265.4,297.5
Ball-1-27PH.csv,254,11,37,6.3,275.2,300.4
Ball-1-27PH.csv,254,10,52,7,280.7,298.7
Ball-1-27PH.csv,254,9,52,6.78,277.7,298.9
Ball-1-27PH.csv,254,11,52,7.22,283.1,298.2
Ball-1-27PH.csv,270,11,37,6.73,295.8,317.1
Ball-1-27PH.csv,270,10,37,6.5,291.6,316.2
Ball-1-27PH.csv,270,12,37,6.95,299.4,317.7
Ball-1-27PH.csv,270,11,33,6.46,291.7,315.7
Ball-1-27PH.csv,270,10,33,6.22,287,314.2
Ball-1-27PH.csv,270,12,33,6.69,295.9,316.7
